"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"4021","日産化学","東証","20231020","20231024","日証金","6359.00","14700","12.80","0.10","0.00157257","1","-","",""
"4031","片倉コープアグリ","東証","20231020","20231024","日証金","1086.00","0","2.20","-","0","-","-","満額",""
"4046","大阪ソーダ","東証","20231020","20231024","日証金","8310.00","118600","16.80","9.50","0.11432","1","0.15","",""
"4055","ティアンドエス","東証","20231020","20231024","日証金","2241.00","55500","9.20","0.05","0.00223115","1","0.05","","注意"
"4062","イビデン","東証","20231020","20231024","日証金","7414.00","0","15.00","-","0","-","-","満額",""
"4091","日本酸素ＨＤ","東証","20231020","20231024","日証金","3697.00","21000","7.40","0.00","0","1","-","",""
"4099","四国化成ＨＤ","東証","20231020","20231024","日証金","1703.00","1500","3.60","0.00","0","1","0.05","",""
"4109","ステラ　ケミファ","東証","20231020","20231024","日証金","3195.00","0","6.40","-","0","-","-","満額",""
"4165","プレイド","東証","20231020","20231024","日証金","665.00","0","2.80","-","0","-","-","満額","注意"
"4167","ココペリ","東証","20231020","20231024","日証金","381.00","0","2.00","-","0","-","-","満額","注意"
"4169","ＥＮＥＣＨＡＮＧＥ","東証","20231020","20231024","日証金","925.00","187200","4.00","0.05","0.00540541","1","0.05","","注意"
"4170","ＫａｉｚｅｎＰＦ","東証","20231020","20231024","日証金","287.00","0","1.00","-","0","-","-","満額",""
"4176","ココナラ","東証","20231020","20231024","日証金","433.00","0","2.00","-","0","-","-","満額","注意"
"4205","日本ゼオン","東証","20231020","20231024","日証金","1507.00","6200","3.20","0.00","0","1","-","",""
"4215","タキロンシーアイ","東証","20231020","20231024","日証金","564.00","0","1.20","-","0","-","-","満額",""
"4245","ダイキアクシス","東証","20231020","20231024","日証金","721.00","0","1.60","-","0","-","-","満額",""
"4263","サスメド","東証","20231020","20231024","日証金","1469.00","0","6.00","-","0","-","-","満額","注意"
"4272","日本化薬","東証","20231020","20231024","日証金","1263.50","1500","2.60","0.00","0","1","0.00","",""
"4293","セプテーニＨＤ","東証","20231020","20231024","日証金","416.00","0","1.00","-","0","-","-","満額",""
"4310","ドリームインキュベタ","東証","20231020","20231024","日証金","2904.00","1800","6.00","0.00","0","1","0.00","",""
"4312","サイバネットシステム","東証","20231020","20231024","日証金","776.00","33000","1.60","0.05","0.0064433","1","0.00","",""
"4323","日本システム技術","東証","20231020","20231024","日証金","2174.00","1900","4.40","0.05","0.00229991","1","0.05","",""
"4324","電通グループ","東証","20231020","20231024","日証金","4416.00","4000","9.00","0.00","0","1","-","",""
"4343","イオンファンタジー","東証","20231020","20231024","日証金","2742.00","0","5.60","-","0","-","-","満額",""
"4344","ソースネクスト","東証","20231020","20231024","日証金","175.00","367800","1.00","0.00","0","1","0.00","",""
"4346","ネクシィーズグループ","東証","20231020","20231024","日証金","880.00","0","1.80","-","0","-","-","満額",""
"4347","ブロードメディア","東証","20231020","20231024","日証金","1683.00","0","6.80","-","0","-","-","満額","注意"
"4369","トリケミカル研究所","東証","20231020","20231024","日証金","3325.00","2700","6.80","0.00","0","1","0.00","",""
"4384","ラクスル","東証","20231020","20231024","日証金","1138.00","0","4.80","-","0","-","-","満額",""
"4393","バンクオブイノベ","東証","20231020","20231024","日証金","5230.00","92100","21.20","0.15","0.00286807","1","0.15","","停止"
"4396","システムサポート","東証","20231020","20231024","日証金","1883.00","0","3.80","-","0","-","-","満額",""
"4418","ＪＤＳＣ","東証","20231020","20231024","日証金","1040.00","0","2.20","-","0","-","-","満額",""
"4424","Ａｍａｚｉａ","東証","20231020","20231024","日証金","421.00","0","1.00","-","0","-","-","満額",""
"4425","Ｋｕｄａｎ","東証","20231020","20231024","日証金","1434.00","38100","6.00","0.05","0.00348675","1","0.05","","注意"
"4431","スマレジ","東証","20231020","20231024","日証金","2999.00","46200","12.00","0.05","0.00166722","1","0.05","",""
"4435","カオナビ","東証","20231020","20231024","日証金","2056.00","20100","4.20","0.05","0.00243191","1","0.05","",""
"4439","東名","東証","20231020","20231024","日証金","1884.00","0","7.60","-","0","-","-","満額","注意"
"4443","Ｓａｎｓａｎ","東証","20231020","20231024","日証金","1102.00","0","2.40","-","0","-","-","満額",""
"4448","Ｃｈａｔｗｏｒｋ","東証","20231020","20231024","日証金","733.00","0","3.20","-","0","-","-","満額","注意"
"4449","ギフティ","東証","20231020","20231024","日証金","1265.00","47000","2.60","0.00","0","1","0.00","",""
"4452","花王","東証","20231020","20231024","日証金","5444.00","159900","11.00","0.10","0.00183688","1","0.10","",""
"4465","ニイタカ","東証","20231020","20231024","日証金","2106.00","2100","4.40","0.00","0","1","0.00","",""
"4480","メドレー","東証","20231020","20231024","日証金","4230.00","0","8.60","-","0","-","-","満額",""
"4519","中外製薬","東証","20231020","20231024","日証金","4548.00","51900","9.20","0.10","0.00219877","1","0.10","",""
"4530","久光製薬","東証","20231020","20231024","日証金","4806.00","12900","9.80","0.00","0","1","0.00","",""
"4534","持田製薬","東証","20231020","20231024","日証金","3310.00","0","6.80","-","0","-","-","満額",""
"4553","東和薬品","東証","20231020","20231024","日証金","2681.00","18600","5.40","0.05","0.00186498","1","0.05","",""
"4574","大幸薬品","東証","20231020","20231024","日証金","328.00","0","1.00","-","0","-","-","満額",""
"4593","ヘリオス","東証","20231020","20231024","日証金","155.00","121700","2.00","0.05","0.0322581","1","0.05","","停止"
"4620","藤倉化成","東証","20231020","20231024","日証金","438.00","0","1.00","-","0","-","-","満額",""
"4665","ダスキン","東証","20231020","20231024","日証金","3250.00","14500","6.60","0.10","0.00307692","1","0.10","",""
"4668","明光ネットワクジャパ","東証","20231020","20231024","日証金","695.00","133400","1.40","0.05","0.00719424","1","0.05","",""
"4704","トレンドマイクロ","東証","20231020","20231024","日証金","5597.00","0","11.20","-","0","-","-","満額",""
"4718","早稲田アカデミー","東証","20231020","20231024","日証金","1388.00","2200","2.80","0.05","0.00360231","1","0.05","",""
"4722","フューチャー","東証","20231020","20231024","日証金","1446.00","0","3.00","-","0","-","-","満額",""
"4732","ユー・エス・エス","東証","20231020","20231024","日証金","2586.50","0","5.20","-","0","-","-","満額",""
"4745","東京個別指導学院","東証","20231020","20231024","日証金","500.00","16000","1.00","0.05","0.01","1","0.00","",""
"4768","大塚商会","東証","20231020","20231024","日証金","5952.00","0","12.00","-","0","-","-","満額",""
"4800","オリコン","東証","20231020","20231024","日証金","741.00","0","1.60","-","0","-","-","満額",""
"4812","電通国際情報サービス","東証","20231020","20231024","日証金","5210.00","0","10.60","-","0","-","-","満額",""
"4816","東映アニメーション","東証","20231020","20231024","日証金","13640.00","37700","27.40","0.25","0.00183284","1","0.25","",""
"4819","デジタルガレージ","東証","20231020","20231024","日証金","2809.00","0","5.80","-","0","-","-","満額",""
"4825","ウェザーニューズ","東証","20231020","20231024","日証金","5820.00","0","11.80","-","0","-","-","満額",""
"4826","シー・アイ・ジェイ","東証","20231020","20231024","日証金","534.00","16300","1.20","0.00","0","1","0.00","",""
"4828","ビーエンジ","東証","20231020","20231024","日証金","3345.00","0","6.80","-","0","-","-","満額",""
"4839","ワウワウ","東証","20231020","20231024","日証金","1090.00","0","2.20","-","0","-","-","満額",""
"4848","フルキャストＨＤ","東証","20231020","20231024","日証金","1699.00","0","3.40","-","0","-","-","満額",""
