"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"4997","日本農薬","東証","20240214","日証金","確報","1300","0","74600","2900","600","148100","-73500","-1000"
"4998","フマキラー","東証","20240214","日証金","確報","0","0","9900","0","0","300","9600","0"
"5009","富士興産","東証","20240214","日証金","確報","2100","1200","8700","0","3600","2600","6100","4500"
"5010","日本精蝋","東証","20240214","日証金","確報","100","100","33500","0","0","0","33500","0"
"5011","ニチレキ","東証","20240214","日証金","確報","0","200","4700","200","100","2000","2700","-300"
"5013","ユシロ化学工業","東証","20240214","日証金","確報","1000","700","15400","3200","0","3200","12200","-2900"
"5015","ビーピーカストロール","東証","20240214","日証金","確報","0","0","3300","0","0","0","3300","0"
"5017","富士石油","東証","20240214","日証金","確報","3300","41700","94200","0","600","1000","93200","-37800"
"5018","ＭＯＲＥＳＣＯ","東証","20240214","日証金","確報","100","200","3200","700","100","3900","-700","-700"
"5019","出光興産","東証","20240214","日証金","確報","24000","21500","94800","3400","1600","9100","85700","700"
"5020","ＥＮＥＯＳ","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"5020","ＥＮＥＯＳ","東証","20240214","日証金","確報","26500","200","224400","29400","0","80800","143600","-3100"
"5021","コスモエネルギーＨＤ","東証","20240214","日証金","確報","1400","3200","114900","0","0","0","114900","-1800"
"5025","マーキュリーＲＩ","東証","20240214","日証金","確報","200","0","4500","0","0","0","4500","200"
"5026","トリプルアイズ","東証","20240214","日証金","確報","200","0","2500","0","0","0","2500","200"
"5027","ＡｎｙＭｉｎｄ","東証","20240214","日証金","確報","900","1900","19500","0","0","0","19500","-1000"
