"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"6837","20240222","1","628700","-3700","-","-","-","342400","-4100","-","-","286300","400","-","-"
"6838","20240222","1","251200","-16300","-","-","-","103000","6300","-","-","148200","-22600","-","-"
"6840","20240222","1","592700","22100","-","-","-","336700","13000","-","-","256000","9100","-","-"
"6841","20240222","2","122900","45600","82600","8000","1.49","105300","45000","16800","-600","17600","600","65800","8600"
"6844","20240222","2","133600","2100","14500","-600","9.21","73300","300","11100","-500","60300","1800","3400","-100"
"6845","20240222","2","45700","8900","124000","77100","0.37","24500","6600","56000","52700","21200","2300","68000","24400"
"6848","20240222","2","21100","1800","2100","1200","10.05","18600","3000","2000","1200","2500","-1200","100","-"
"6849","20240222","2","32500","-100","25900","2600","1.25","19300","-800","11500","-100","13200","700","14400","2700"
"6850","20240222","2","65600","7700","234100","-1000","0.28","53600","7100","1300","-1200","12000","600","232800","200"
"6853","20240222","2","97100","-6700","800","-200","121.38","76000","-1800","800","-200","21100","-4900","-","-"
"6855","20240222","2","225800","-9100","93500","24500","2.41","131500","-5600","93100","24300","94300","-3500","400","200"
"6856","20240222","2","73800","8800","38000","2900","1.94","49900","7500","29600","1700","23900","1300","8400","1200"
"6857","20240222","2","7957600","1640900","2177500","-746100","3.65","4408100","1351200","1817200","-746700","3549500","289700","360300","600"
"6858","20240222","1","309700","60200","-","-1000","-","181900","18000","-","-","127800","42200","-","-1000"
"6859","20240222","2","68800","-8700","6600","300","10.42","40600","-8300","6100","200","28200","-400","500","100"
"6861","20240222","2","145500","-7500","124900","-3300","1.16","75500","-6600","96200","-3100","70000","-900","28700","-200"
"6862","20240222","1","917700","83700","-","-","-","677400","67600","-","-","240300","16100","-","-"
"6863","20240222","1","294700","-31600","-","-","-","183300","-31500","-","-","111400","-100","-","-"
"6864","20240222","1","198400","-15700","-","-","-","113500","-14900","-","-","84900","-800","-","-"
"6866","20240222","2","118200","600","14100","-","8.38","77900","1000","3400","-","40300","-400","10700","-"
"6867","20240222","1","390300","10600","-","-","-","78700","-28600","-","-","311600","39200","-","-"
"6869","20240222","2","267100","28100","24300","-8100","10.99","146500","24300","15900","-9400","120600","3800","8400","1300"
"6870","20240222","1","49400","1300","-","-","-","4400","600","-","-","45000","700","-","-"
"6871","20240222","2","1483200","640300","304800","61800","4.87","906000","383400","277400","52500","577200","256900","27400","9300"
"6874","20240222","2","107300","2500","-","-","-","84000","-1500","-","-","23300","4000","-","-"
"6875","20240222","2","63700","3400","17600","400","3.62","53100","2700","9200","600","10600","700","8400","-200"
"6877","20240222","2","21900","1500","16300","-200","1.34","10900","500","100","-200","11000","1000","16200","-"
"6879","20240222","2","729300","-20700","33400","-13700","21.84","186000","-13000","33400","-13700","543300","-7700","-","-"
