"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"8053","20230630","2","3949100","86200","602200","-37800","6.56","1935400","85700","478200","-55300","2013700","500","124000","17500"
"8056","20230630","2","24800","11900","19700","5000","1.26","17200","10000","7100","-2400","7600","1900","12600","7400"
"8057","20230630","2","21000","1700","11800","7100","1.78","13400","2600","11200","7000","7600","-900","600","100"
"8058","20230630","2","5848700","-296100","1352600","-128700","4.32","4216600","-239800","1183200","-98100","1632100","-56300","169400","-30600"
"8059","20230630","2","12600","300","7200","-300","1.75","11700","-100","5200","-300","900","400","2000","-"
"8060","20230630","2","8700","-8000","57600","3000","0.15","6400","-6200","8200","2800","2300","-1800","49400","200"
"8061","20230630","2","37600","2300","2400","-600","15.67","24300","2400","2200","-100","13300","-100","200","-500"
"8065","20230630","2","47600","-1300","-","-600","-","27100","-1700","-","-600","20500","400","-","-"
"8066","20230630","2","37000","-100","800","-","46.25","6800","-400","800","-","30200","300","-","-"
"8068","20230630","2","303200","-41000","195900","-3100","1.55","147800","-32100","191600","-1900","155400","-8900","4300","-1200"
"8070","20230630","2","49100","-9800","12500","-500","3.93","31400","-2500","10100","-500","17700","-7300","2400","-"
"8072","20230630","1","46100","-200","-","-","-","4300","-300","-","-","41800","100","-","-"
"8074","20230630","2","25200","-100","6600","-","3.82","8400","-100","1900","100","16800","-","4700","-100"
"8075","20230630","2","61600","-2700","21600","-300","2.85","22400","-3100","17600","-300","39200","400","4000","-"
"8076","20230630","1","36800","-4900","-","-","-","9500","-1300","-","-","27300","-3600","-","-"
"8077","20230630","2","614800","-59100","86900","-16800","7.07","448100","-53500","86100","-16800","166700","-5600","800","-"
"8078","20230630","2","617000","-22200","15000","-100","41.13","182300","100","9400","-3300","434700","-22300","5600","3200"
"8079","20230630","2","9700","1400","79100","4400","0.12","8400","1700","28400","-100","1300","-300","50700","4500"
"8081","20230630","1","69000","1000","800","-","86.25","33400","500","-","-","35600","500","800","-"
"8084","20230630","2","228800","2700","15000","400","15.25","112600","2000","14600","400","116200","700","400","-"
"8085","20230630","1","57600","2700","-","-","-","4600","-700","-","-","53000","3400","-","-"
"8086","20230630","2","461300","3400","25400","-35400","18.16","248000","2200","5400","-10400","213300","1200","20000","-25000"
"8088","20230630","2","268100","-33600","66700","-3700","4.02","191800","-26600","54200","-2200","76300","-7000","12500","-1500"
"8089","20230630","2","18200","-","4900","-600","3.71","10400","-100","4900","-100","7800","100","-","-500"
"8091","20230630","2","223800","-5000","4900","500","45.67","83900","-8100","4600","500","139900","3100","300","-"
"8093","20230630","2","57600","-1000","89800","1200","0.64","37500","-1200","12800","1200","20100","200","77000","-"
"8095","20230630","2","285700","-14700","68300","-1200","4.18","128300","-300","62900","-1200","157400","-14400","5400","-"
"8097","20230630","2","36700","19600","2100","700","17.48","12800","3300","1900","600","23900","16300","200","100"
"8098","20230630","2","61700","-8300","31500","-2600","1.96","32400","-9500","12700","-1000","29300","1200","18800","-1600"
"8101","20230630","2","130000","-17700","38100","3200","3.41","68300","-19200","37200","2700","61700","1500","900","500"
"8103","20230630","2","230900","6700","24400","-700","9.46","115800","8200","1600","-700","115100","-1500","22800","-"
"8104","20230630","1","110300","-19300","300","-","367.67","78100","-20100","-","-","32200","800","300","-"
"8105","20230630","1","1258100","-34700","-","-","-","616000","-35700","-","-","642100","1000","-","-"
