"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"1726","ビーアールホールディングス","202203","20220513","35899","2289","2296","1527","33961","13193","3114","9250","38.8","12.1","4.58","45795000"
"1730","麻生フオームクリート","202203","20220513","3594","-73","-65","-52","3300","1411","209","666","42.8","-3.58","-1.52","3420000"
"1736","オーテック","202203","20220513","25410","1923","2027","1349","26767","17470","599","1214","65.3","7.94","5.06","5700000"
"1739","メルディアDC","202206","20220809","31482","2051","1942","1271","26324","7521","100","14736","28.6","18.35","4.99","6454400"
"1743","コーアツ工業","202209","20221111","10079","873","913","561","12703","8109","1319","600","63.8","7.11","4.49","2280000"
"1757","中小企業ホールディングス","202203","20220516","2848","-374","-842","-914","1773","766","10641","103","43.2","-90.14","-56.26","258251756"
"1758","太洋基礎工業","202301","20230314","14709","797","941","613","12171","8619","456","377","70.8","7.44","5.39","819600"
"1762","高松コンストラクショングループ","202203","20220511","263907","11225","11490","6727","236719","121433","5000","32200","51.3","5.67","2.94","34818578"
"1764","工藤建設","202206","20220809","17009","240","204","121","14094","4678","867","3252","33.2","2.67","0.88","1331220"
"1766","東建コーポレーション","202204","20220613","311586","15039","15361","10275","194153","113424","4800","-","58.4","9.39","5.29","13472000"
"1768","ソネック","202203","20220506","17158","1107","1164","800","11307","8113","723","-","71.8","10.19","7.09","7500000"
"1770","藤田エンジニアリング","202203","20220513","27708","1901","2047","1372","27190","15519","1029","955","57.1","9.18","5.15","11700000"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド（外国株）","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1775","富士古河E＆C","202203","20220525","82050","6592","6706","4607","62654","32942","1970","191","52.6","15","7.73","9026561"
"1776","三井住建道路","202203","20220511","31535","933","949","627","26693","12971","1329","-","48.6","4.91","2.31","9277500"
"1780","ヤマウラ","202203","20220513","27946","2123","2317","1495","24501","17793","2888","-","72.6","8.74","6.21","21103514"
"1783","アジアゲートホールディングス","202209","20221114","5027","75","50","-803","7471","5145","6571","1157","68.9","-18.88","-12.58","170042851"
"1786","オリエンタル白石","202203","20220513","60726","5308","5460","3778","60952","38989","1000","5057","64","11.34","7.15","122498436"
"1787","ナカボーテック","202203","20220509","12909","1062","1095","763","10860","7641","866","-","70.4","10.11","6.9","2602500"
"1788","三東工業社","202206","20220810","6751","252","276","186","4769","2833","849","-","59.4","6.77","3.86","686000"
"1789","ETSホールディングス","202209","20221121","6688","266","263","212","6569","2669","989","1929","40.6","8.22","3.65","6375284"
"1793","大本組","202203","20220512","71276","2337","2545","1784","90912","66934","5296","-","73.6","2.66","1.95","5132380"
"1795","マサル","202209","20221114","6959","198","232","191","6544","4453","885","311","68","4.33","2.74","901151"
"1798","守谷商会","202203","20220513","38840","1608","1661","1574","27479","12096","1712","1600","44","13.83","5.73","2260000"
"1799","第一建設工業","202203","20220511","42748","2794","3328","2596","73097","65403","3302","-","89.5","4.01","3.48","20858491"
"1801","大成建設","202203","20220513","1543240","96077","103247","71436","1956200","868887","122742","224323","44.4","8.36","3.73","188771572"
"1802","大林組","202203","20220512","1922884","41051","49844","39127","2422085","955691","57752","280434","39.5","4.15","1.67","721509646"
