"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"4240","クラスターテクノロジー","東証GR","化学","1953","5692800","0","0","35.51","1.28","9.66","268.59","34300","100","20230904","456","20240215","339"
"4241","アテクト","東証ST","化学","3691","4436800","1.2","10","36.78","1.75","22.62","474.79","83200","100","20240109","1379","20230118","503"
"4242","タカギセイコー","東証ST","化学","6153","2822472","1.65","36","6.17","0.48","353.35","4524.72","218000","100","20240105","2299","20230106","1375"
"4243","ニックス","東証ST","化学","1903","2323000","2.44","20","11.53","0.47","71.04","1738.45","81900","100","20230619","1128","20230120","733"
"4245","ダイキアクシス","東証ST","化学","9543","13672100","3.44","24","23.24","0.98","30.03","714.97","69800","100","20231207","782","20230105","641"
"4246","ダイキョーニシカワ","東証PR","化学","55792","73896400","3.97","30","10.32","0.66","73.15","1137.48","75500","100","20230920","880","20230106","541"
"4247","ポバール興業","東証ST","化学","3423","2634800","2.85","37","14.38","0.6","90.34","2153.21","129900","100","20240105","1349","20230105","1021"
"4248","竹本容器","東証ST","化学","9710","12529200","4.65","36","18.65","0.85","41.56","911","77500","100","20230428","877","20230105","726"
"4249","森六ホールディングス","東証PR","化学","42237","15460000","3.66","100","15.85","0.56","172.35","4895.04","273200","100","20231201","2995","20230104","1676"
"4251","恵和","東証PR","化学","21390","19270448","2.25","25","10.05","1.05","110.43","1056.44","111000","100","20230308","1696","20230809","976"
"4255","THECOO","東証GR","情報通信","1050","2076055","0","0","-","2.48","-192.81","204.14","50600","100","20230127","1124","20231226","466"
"4256","サインド","東証GR","情報通信","4727","5800000","0","0","236.23","1.49","3.45","545.69","81500","100","20230406","1327","20231006","710"
"4258","網屋","東証GR","情報通信","8135","4281600","0","0","28.11","4.39","67.58","432.69","190000","100","20240126","2710","20230105","988"
"4259","エクサウィザーズ","東証GR","情報通信","44725","84866600","0","0","-","9.2","-","57.31","52700","100","20230622","690","20230227","271"
"4260","ハイブリッドテクノロジーズ","東証GR","情報通信","6671","11364548","0","0","31.09","2.8","18.88","209.85","58700","100","20230110","1187","20240216","565"
"4261","アジアクエスト","東証GR","情報通信","3380","1469600","0","0","12.71","2.42","181.01","951.24","230000","100","20230620","3130","20231208","1490"
"4262","ニフティライフスタイル","東証GR","情報通信","6618","6363800","1.44","15","12.31","1.32","84.51","786.32","104000","100","20240222","1089","20230208","779"
"4263","サスメド","東証GR","情報通信","9250","16727800","0","0","-","1.91","-27.44","289.29","55300","100","20230703","1823","20240301","552"
"4264","セキュア","東証GR","情報通信","7355","4744920","0","0","38.71","7.2","40.04","215.42","155000","100","20230621","3990","20230106","585"
"4265","Institution_for_a_Global_Society","東証GR","情報通信","2178","4508300","0","0","154.81","2.79","3.12","173.31","48300","100","20240221","644","20231228","333"
"4267","ライトワークス","東証GR","情報通信","4944","4943600","4","40","24.72","5.71","40.46","175.18","100000","100","20230317","1136","20230816","925"
"4268","エッジテクノロジー","東証GR","情報通信","8382","10731850","0","0","59.85","12.97","13.05","60.2","78100","100","20230209","1306","20240105","612"
"4270","BeeX","東証GR","情報通信","8876","2224600","0","0","21.94","4.46","181.85","894.4","399000","100","20231011","4280","20230104","2018"
"4272","日本化薬","東証PR","化学","220461","170503570","3.48","45","36.96","0.83","34.98","1561.1","129300","100","20231127","1424","20230105","1117"
"4274","細谷火工","東証ST","化学","5258","4032000","0.54","7","43.5","1.72","29.98","757.78","130400","100","20230621","2043","20231221","1187"
"4275","カーリットホールディングス","東証PR","化学","24555","24050000","1.96","20","9.3","0.67","109.84","1520.56","102100","100","20240226","1078","20230323","658"
"4284","ソルクシーズ","東証ST","情報通信","9146","26820594","3.52","12","16.59","1.12","20.56","305.55","34100","100","20230926","482","20230316","331"
"4286","CLホールディングス","東証ST","サービス","10883","10840000","2.69","27","11.33","1.21","88.61","827.32","100400","100","20240215","1054","20230106","763"
"4287","ジャストプランニング","東証ST","情報通信","4101","12736338","2.48","8","11.89","1.15","27.09","278.89","32200","100","20231116","368","20230320","294"
"4288","アズジェント","東証ST","情報通信","2228","3815734","-","-","-","2.25","-","259.72","58400","100","20240301","720","20231226","358"
"4290","プレステージ・インターナショナル","東証PR","サービス","84798","128676300","1.82","12","16.21","2.01","40.66","328.07","65900","100","20230126","769","20230817","537"
"4293","セプテーニ・ホールディングス","東証ST","サービス","96886","211079654","1.72","7.9","14.63","1.45","31.38","316.7","45900","100","20231229","535","20230316","314"
"4295","フェイス","東証ST","情報通信","6307","13831091","2.19","10","-","0.37","-82.1","1237.32","45600","100","20230209","550","20240215","452"
"4298","プロトコーポレーション","東証PR","情報通信","55509","41925300","2.64","35","9.05","1.15","146.27","1150.83","132400","100","20231120","1392","20230525","1087"
"4299","ハイマックス","東証ST","情報通信","17626","12412992","3.06","43.5","14.37","1.56","98.83","912.35","142000","100","20230124","1505","20231108","1336"
"4301","アミューズ","東証PR","サービス","28010","18623520","2.66","40","24.94","0.75","60.31","2009.57","150400","100","20230419","1882","20231024","1425"
"4304","Eストアー","東証ST","情報通信","8897","6131780","-","-","-","2.38","-","610.85","145100","100","20230124","1513","20230518","1066"
"4307","野村総合研究所","東証PR","情報通信","2507385","594167042","1.26","53","30.04","6.53","140.5","646.13","422000","100","20240116","4586","20230316","2908"
