"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1992","2100","300","-","-","-"
"1994","53300","-9000","-","-","-"
"1997","25600","-3900","-","-","-"
"2001","125100","-7500","13800","1200","9.07"
"2002","270200","-40800","45400","3400","5.95"
"2003","30300","-1800","700","100","43.29"
"2004","21500","5200","6600","-300","3.26"
"2009","256900","23500","-","-","-"
"2053","330800","6200","6600","2000","50.12"
"2055","254400","-3100","4400","600","57.82"
"2060","483600","-29700","6700","-3300","72.18"
"2107","48300","-2800","-","-","-"
"2108","18200","-700","5200","-600","3.5"
"2109","39900","900","8900","100","4.48"
"2112","680900","-20700","35000","-7800","19.45"
"2114","56600","1900","63500","-2200","0.89"
"2117","50100","4100","25400","-","1.97"
"2120","3743100","81000","44800","-11900","83.55"
"2121","265000","-46000","12900","-2700","20.54"
"2122","152300","7200","-","-","-"
"2124","208500","6900","14300","-3600","14.58"
"2127","9145200","339000","816700","14600","11.2"
"2130","272200","-9600","63300","-8200","4.3"
"2134","7902900","27700","-","-","-"
"2136","48600","-900","-","-","-"
"2138","1498600","51600","210000","-15600","7.14"
"2139","57600","-800","800","-100","72"
"2146","370300","-30400","49000","15600","7.56"
"2148","669300","120100","100","-1300","6693"
"2150","1560600","-2800","-","-","-"
"2152","33600","300","-","-","-"
"2153","251000","1300","600","-","418.33"
"2154","58500","-4800","16800","4800","3.48"
"2156","108600","-3900","-","-","-"
"2157","1185100","15800","32600","4300","36.35"
"2158","1959500","146300","23200","12800","84.46"
"2160","5079300","-185900","324000","-40900","15.68"
"2162","1408700","-12500","10100","-10800","139.48"
"2163","88200","-32400","-","-","-"
"2164","30500","-7500","-","-","-"
"2168","168000","-47100","192700","-11100","0.87"
"2169","10600","-300","1200","-800","8.83"
"2170","561400","31100","185400","-9100","3.03"
"2173","338000","-24300","26400","400","12.8"
"2175","234600","-14000","131100","13800","1.79"
"2179","4100","-200","-","-","-"
"2180","304800","46400","-","-","-"
"2181","5719900","-68000","161800","-4100","35.35"
"2183","117300","1700","100","100","1173"
"2185","72600","3600","-","-","-"
"2186","62800","-900","-","-","-"
"2193","2156900","30600","412400","-21300","5.23"
"2195","210300","54700","-","-","-"
"2196","469700","-66000","205500","-8000","2.29"
"2198","108800","1400","60400","6300","1.8"
"2201","121300","5400","31500","-300","3.85"
"2204","8100","-100","3300","-","2.45"
"2206","26300","-10900","90700","-3700","0.29"
"2207","7000","700","12500","4200","0.56"
"2208","8600","-","-","-","-"
"2209","10200","-1800","500","200","20.4"
"2211","40200","-2300","15200","300","2.64"
"2212","140400","30000","480200","-21400","0.29"
"2215","333300","60500","29200","11800","11.41"
"2216","208800","-125900","31500","-12700","6.63"
"2217","4100","-1200","8100","3100","0.51"
"2220","8300","300","5200","-","1.6"
"2221","2000","-200","-","-","-"
"2222","1108200","-37100","149200","-14700","7.43"
"2224","10300","-400","-","-","-"
"2226","9700","-1000","2500","200","3.88"
"2229","92600","29500","84200","-21700","1.1"
"2264","73600","-6300","20000","2400","3.68"
"2266","30600","300","1500","-300","20.4"
"2267","1836200","13600","133000","-36700","13.81"
"2268","4800","100","-","-","-"
"2269","193300","-17600","52500","1100","3.68"
"2270","179100","7300","30100","-7800","5.95"
"2281","559400","2800","15900","700","35.18"
"2282","273600","5900","55900","800","4.89"
"2286","320300","-2500","-","-1000","-"
"2288","41400","1200","5900","-","7.02"
"2291","20500","-700","3800","-1000","5.39"
"2292","27200","400","358300","293600","0.08"
"2293","4000","400","-","-","-"
"2294","41300","2800","10400","1500","3.97"
"2296","37700","2200","5300","500","7.11"
"2300","14400","-4100","-","-","-"
"2301","49300","1700","12800","-10300","3.85"
"2303","128000","-300","-","-","-"
"2304","76100","1100","9300","-400","8.18"
"2305","26200","1800","15400","600","1.7"
"2307","66200","100","10000","-","6.62"
"2309","18200","5200","100","-","182"
"2311","272800","-36400","100","-","2728"
"2315","5905900","-37400","1299200","161800","4.55"
"2317","2439800","73000","160900","-75600","15.16"
"2321","1742700","-167300","-","-","-"
"2323","288800","32500","-","-","-"
"2325","16900","-500","1700","-500","9.94"
"2326","105200","-12600","6200","-100","16.97"
"2327","15500","2400","42300","-1900","0.37"
"2329","161500","4500","-","-","-"
"2330","3227900","289200","34800","11600","92.76"
"2331","264400","-57800","110400","-7600","2.39"
"2332","81000","4700","2800","1000","28.93"
"2334","243400","2900","-","-","-"
"2335","41300","5300","3000","100","13.77"
"2337","1018100","39600","833600","-25700","1.22"
"2338","703600","-9200","-","-","-"
"2340","168900","-6000","-","-","-"
"2341","946600","-32800","-","-","-"
"2342","632300","-21200","-","-","-"
"2344","91800","-1900","-","-","-"
"2345","2933000","46400","-","-","-"
"2349","40100","400","-","-","-"
"2351","225800","-5900","-","-100","-"
"2353","7620900","-479100","269300","7800","28.3"
"2354","1328800","1200","-","-100","-"
"2359","69500","13600","29400","7000","2.36"
"2370","16353600","-547300","-","-","-"
