"SC","è„èÍîNåé"
"4784","200009"
"4792","200010"
"4800","200011"
"4801","200011"
"4809","200412"
"4811","202310"
"4812","200011"
"4813","200102"
"4814","200012"
"4816","200012"
"4819","200012"
"4820","200012"
"4824","200012"
"4825","200012"
"4826","200101"
"4828","200102"
"4829","200102"
"4832","200103"
"4833","200103"
"4837","200104"
"4838","200104"
"4839","200104"
"4840","200104"
"4845","200105"
"4847","200106"
"4848","200106"
"4849","200106"
"4875","200502"
"4880","201910"
"4881","202012"
"4882","202106"
"4883","202008"
"4884","202012"
"4885","202102"
"4886","202104"
"4887","202104"
"4888","202104"
"4889","202109"
"4890","202206"
"4891","202211"
"4892","202212"
"4893","202306"
"4894","202306"
"4896","202310"
"4901","194905"
"4902","194905"
"4911","194905"
"4912","194905"
"4914","196301"
"4917","198811"
"4918","199604"
"4919","199606"
"4920","199607"
"4921","199811"
"4922","199912"
"4923","200209"
"4925","200306"
"4926","200909"
"4927","201012"
"4928","201103"
"4929","201212"
"4930","202009"
"4931","201906"
"4932","202106"
"4933","202009"
"4934","202010"
"4935","202012"
"4936","202102"
"4937","202106"
"4951","198401"
"4955","199306"
"4956","199409"
"4957","199502"
"4958","199506"
"4960","199508"
"4966","199711"
"4967","199904"
"4968","199911"
"4970","200003"
"4971","200101"
"4972","200104"
"4973","200212"
"4974","200412"
"4975","200512"
"4976","200802"
"4977","201112"
"4978","201306"
"4979","201406"
"4980","201507"
"4985","200511"
"4987","197712"
"4990","196304"
"4992","196110"
"4994","200204"
"4996","196211"
"4997","196307"
"4998","196405"
"5009","197005"
"5010","196307"
"5011","197001"
"5013","198512"
"5015","199503"
"5017","200301"
"5018","200311"
"5019","200610"
"5020","201004"
"5021","201510"
"5025","202202"
"5026","202205"
"5027","202303"
"5028","202204"
"5029","202204"
"5031","202204"
"5032","202206"
"5033","202206"
"5034","202207"
"5035","202207"
"5036","202208"
"5038","202209"
"5070","202003"
"5071","202003"
"5074","202104"
"5076","202110"
"5078","202203"
"5079","202203"
"5101","195004"
"5103","195212"
"5105","194905"
"5108","196110"
"5110","197501"
"5121","194905"
"5122","194906"
"5125","202209"
"5126","202209"
"5127","202209"
"5129","202210"
"5131","202210"
"5132","202210"
"5133","202211"
"5134","202211"
"5136","202211"
"5137","202212"
"5138","202212"
"5139","202212"
"5142","196110"
"5161","199111"
"5162","199809"
"5184","199708"
"5185","199410"
"5186","199010"
"5187","199007"
"5189","196403"
"5191","194907"
"5192","195807"
"5194","196110"
"5195","196201"
"5199","198009"
"5201","195006"
"5202","195006"
"5204","196107"
"5208","196110"
"5210","196110"
"5212","196306"
"5214","197304"
"5216","199501"
"5217","199909"
"5218","200510"
"5232","194905"
"5233","194905"
"5237","194905"
"5240","202212"
"5242","202212"
"5243","202212"
"5244","202212"
"5246","202212"
"5247","202212"
"5248","202301"
"5250","202302"
"5252","202303"
"5253","202303"
