"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1473","20230714","2","50","-","20","10","2.5","50","-","20","10","-","-","-","-"
"1474","20230714","2","135","-","-","-","-","-","-","-","-","135","-","-","-"
"1475","20230714","2","318521","-1491","8330","-8929","38.24","314946","-1140","7323","-8929","3575","-351","1007","-"
"1476","20230714","2","6069","775","1229","-137","4.94","2423","776","1229","-137","3646","-1","-","-"
"1477","20230714","2","7","-2","-","-","-","7","-2","-","-","-","-","-","-"
"1478","20230714","2","11978","1676","709","-1498","16.89","3591","119","709","-1498","8387","1557","-","-"
"1479","20230714","2","61","-","-","-","-","-","-","-","-","61","-","-","-"
"1480","20230714","2","-","-1","-","-","-","-","-1","-","-","-","-","-","-"
"1481","20230714","2","46","-1","38","-2","1.21","46","-1","38","-2","-","-","-","-"
"1482","20230714","2","140478","26588","15","-727","9365.2","44095","3534","15","-727","96383","23054","-","-"
"1483","20230714","2","11","5","1","-","11","7","1","1","-","4","4","-","-"
"1484","20230714","2","-","-40","-","-100","-","-","-40","-","-100","-","-","-","-"
"1485","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1486","20230714","2","2608","21","-","-","-","1719","-6","-","-","889","27","-","-"
"1487","20230714","2","6487","435","42","32","154.45","2019","-15","42","32","4468","450","-","-"
"1488","20230714","2","11170","-350","2270","-550","4.92","2310","-360","2270","-550","8860","10","-","-"
"1489","20230714","2","20627","23","1690","-504","12.21","11342","-999","1690","-504","9285","1022","-","-"
"1490","20230714","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1492","20230714","2","107","-4","215","41","0.5","69","-5","215","41","38","1","-","-"
"1493","20230714","2","140","-1","256","-5","0.55","140","-1","256","-5","-","-","-","-"
"1494","20230714","2","283","-14","-","-","-","72","-15","-","-","211","1","-","-"
"1495","20230714","2","560","-140","40","10","14","10","-160","40","10","550","20","-","-"
"1496","20230714","2","48702","19650","-","-111","-","17584","1835","-","-111","31118","17815","-","-"
"1497","20230714","2","144705","4609","770","48","187.93","34066","3132","770","48","110639","1477","-","-"
"1498","20230714","2","-","-","10","-","-","-","-","10","-","-","-","-","-"
"1499","20230714","2","15","14","-","-","-","14","14","-","-","1","-","-","-"
"1540","20230714","2","249439","1882","22418","-2690","11.13","109211","-1233","22418","-2690","140228","3115","-","-"
"1541","20230714","2","117996","12629","2198","318","53.68","54790","11364","2198","318","63206","1265","-","-"
"1542","20230714","2","37236","-516","3044","-2","12.23","11431","-1695","3044","-2","25805","1179","-","-"
"1543","20230714","2","2883","-49","-","-","-","1767","100","-","-","1116","-149","-","-"
"1545","20230714","2","108201","4018","39180","-10292","2.76","47901","5895","39180","-10292","60300","-1877","-","-"
"1546","20230714","2","7305","1650","15478","-684","0.47","5121","1565","15478","-684","2184","85","-","-"
"1547","20230714","2","89120","13400","60970","-9900","1.46","12190","1650","60970","-9900","76930","11750","-","-"
"1550","20230714","2","38000","-260","2640","370","14.39","12030","-290","2640","370","25970","30","-","-"
"1551","20230714","2","820","20","60","-","13.67","140","20","60","-","680","-","-","-"
"1552","20230714","2","6722210","-177217","7020","-6000","957.58","4706761","-244252","-","-","2015449","67035","7020","-6000"
"1554","20230714","2","12750","1440","3580","-2300","3.56","4190","1140","3580","-2300","8560","300","-","-"
"1555","20230714","2","3810","-1180","10650","10630","0.36","120","-1010","10650","10630","3690","-170","-","-"
"1557","20230714","2","2093","39","-","-","-","605","49","-","-","1488","-10","-","-"
"1559","20230714","2","871","-3245","17","1","51.24","593","-3140","17","1","278","-105","-","-"
"1560","20230714","2","975","-8","-","-","-","295","-8","-","-","680","-","-","-"
"1563","20230714","2","231260","23313","52731","13808","4.39","146642","14142","52731","13808","84618","9171","-","-"
"1566","20230714","2","1007","106","183","-27","5.5","254","106","183","-27","753","-","-","-"
"1568","20230714","2","56120","9280","39370","-6590","1.43","46360","6340","39370","-6590","9760","2940","-","-"
"1569","20230714","2","170840","-29040","70","-30","2440.57","38610","-27170","70","-30","132230","-1870","-","-"
"1570","20230714","2","3252150","126070","2749420","-56605","1.18","2581632","74122","2713237","-80250","670518","51948","36183","23645"
"1571","20230714","2","2727798","-264831","35797","3791","76.2","1733692","-182908","35797","3791","994106","-81923","-","-"
"1572","20230714","2","59320","-1040","-","-","-","19470","1370","-","-","39850","-2410","-","-"
"1573","20230714","2","4990","-60","350","-110","14.26","3410","-","350","-110","1580","-60","-","-"
"1577","20230714","2","4503","-463","137","9","32.87","2444","-362","137","9","2059","-101","-","-"
"1578","20230714","2","3213","456","1804","44","1.78","2566","379","1804","44","647","77","-","-"
"1579","20230714","2","225470","-7460","176140","-10920","1.28","174560","-8150","176140","-10790","50910","690","-","-130"
"1580","20230714","2","379780","-23240","3440","-1550","110.4","157300","-3070","3440","-1550","222480","-20170","-","-"
"1585","20230714","2","10","10","280","-10","0.04","10","10","280","-10","-","-","-","-"
"1586","20230714","2","305","50","148","-20","2.06","305","50","148","-20","-","-","-","-"
"1591","20230714","2","3424","10","325","-45","10.54","303","10","325","-45","3121","-","-","-"
"1592","20230714","2","570","-575","622","100","0.92","565","-355","622","100","5","-220","-","-"
