id,sec-code,filer-name,description
S100C3QD,30830,株式会社シーズメン,四半期報告書－第29期第3四半期(2017/09/01－2017/11/30)
S100C41W,,株式会社ＺＷＥＩ,四半期報告書－第34期第3四半期(2017/09/01－2017/11/30)
S100C3HX,82730,株式会社イズミ,四半期報告書－第57期第3四半期(2017/09/01－2017/11/30)
S100C3SH,21530,Ｅ・Ｊホールディングス株式会社,四半期報告書－第11期第2四半期(2017/09/01－2017/11/30)
S100C420,47450,株式会社東京個別指導学院,四半期報告書－第35期第3四半期(2017/09/01－2017/11/30)
S100C3J1,81810,株式会社東天紅,四半期報告書－第62期第3四半期(2017/09/01－2017/11/30)
S100C2YU,74850,岡谷鋼機株式会社,四半期報告書－第82期第3四半期(2017/09/01－2017/11/30)
S100C42A,,株式会社オンリー,四半期報告書－第42期第1四半期(2017/09/01－2017/11/30)
S100C2YV,78180,株式会社トランザクション,四半期報告書－第32期第1四半期(2017/09/01－2017/11/30)
S100BVYS,34150,株式会社ＴＯＫＹＯ　ＢＡＳＥ,四半期報告書－第10期第3四半期(2017/09/01－2017/11/30)
S100C38B,48250,株式会社ウェザーニューズ,四半期報告書－第32期第2四半期(2017/09/01－2017/11/30)
S100C33G,,株式会社ピックルスコーポレーション,四半期報告書－第42期第3四半期(2017/09/01－2017/11/30)
S100C3RE,99030,株式会社カンセキ,四半期報告書－第44期第3四半期(2017/09/01－2017/11/30)
S100C3YH,89310,和田興産株式会社,四半期報告書－第52期第3四半期(2017/09/01－2017/11/30)
S100C3J6,45770,ダイト株式会社,四半期報告書－第76期第2四半期(2017/09/01－2017/11/30)
S100C43A,30480,株式会社ビックカメラ,四半期報告書－第38期第1四半期(2017/09/01－2017/11/30)
S100C2V7,81940,株式会社ライフコーポレーション,四半期報告書－第63期第3四半期(2017/09/01－2017/11/30)
S100C40J,27420,株式会社ハローズ,四半期報告書－第60期第3四半期(2017/09/01－2017/11/30)
S100C1ZM,26510,株式会社ローソン,四半期報告書－第43期第3四半期(2017/09/01－2017/11/30)
S100C3II,82600,株式会社井筒屋,四半期報告書－第123期第3四半期(2017/09/01－2017/11/30)
S100C3W3,82370,株式会社松屋,四半期報告書－第149期第3四半期(2017/09/01－2017/11/30)
S100C43T,,マックスバリュ西日本株式会社,四半期報告書－第36期第3四半期(2017/09/01－2017/11/30)
S100C34U,99830,株式会社ファーストリテイリング,四半期報告書－第57期第1四半期(2017/09/01－2017/11/30)
S100C3WP,81850,株式会社チヨダ,四半期報告書－第71期第3四半期(2017/09/01－2017/11/30)
S100C3SD,97870,イオンディライト株式会社,四半期報告書－第45期第3四半期(2017/09/01－2017/11/30)
S100C3U7,75440,株式会社スリーエフ,四半期報告書－第37期第3四半期(2017/09/01－2017/11/30)
S100C3OJ,64320,株式会社竹内製作所,四半期報告書－第56期第3四半期(2017/09/01－2017/11/30)
S100C3JN,59820,株式会社マルゼン,四半期報告書－第57期第3四半期(2017/09/01－2017/11/30)
S100C3M8,24620,ライク株式会社,四半期報告書－第25期第2四半期(2017/09/01－2017/11/30)
S100C446,23000,株式会社きょくとう,四半期報告書－第39期第3四半期(2017/09/01－2017/11/30)
S100C3U2,81430,株式会社ラピーヌ,四半期報告書－第70期第3四半期(2017/09/01－2017/11/30)
S100C3QA,31600,株式会社大光,四半期報告書－第68期第2四半期(2017/09/01－2017/11/30)
S100C44R,21640,株式会社地域新聞社,四半期報告書－第34期第1四半期(2017/09/01－2017/11/30)
S100C3WA,,株式会社薬王堂,四半期報告書－第37期第3四半期(2017/09/01－2017/11/30)
S100C331,24370,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,四半期報告書－第29期第2四半期(2017/09/01－2017/11/30)
S100C41I,30860,Ｊ．フロント　リテイリング株式会社,四半期報告書－第11期第3四半期(2017/09/01－2017/11/30)
S100C34A,89080,株式会社毎日コムネット,四半期報告書－第40期第2四半期(2017/09/01－2017/11/30)
S100C39X,47160,日本オラクル株式会社,四半期報告書－第33期第2四半期(2017/09/01－2017/11/30)
S100C340,64690,株式会社　放電精密加工研究所,四半期報告書－第57期第3四半期(2017/09/01－2017/11/30)
